channel,sample,time_s,amplitude_abs_uv,signed_amplitude_uv
Fp2,7477,7.477,1339.5036801566448,1339.5036801566448
Fp2,7781,7.781,513.98135786414,-513.98135786414
Fp2,8087,8.087,1140.9722388013072,-1140.9722388013072
Fp2,8379,8.379,1349.0645206767617,1349.0645206767617
Fp2,8714,8.714,597.708623857324,-597.708623857324
Fp2,8996,8.996,359.59673780816365,359.59673780816365
Fp2,9405,9.405,1171.7164234694842,1171.7164234694842
Fp2,9741,9.741,497.63364857392855,497.63364857392855
Fp2,10013,10.013,852.6041886875415,852.6041886875415
Fp2,10324,10.324,783.6577751721452,783.6577751721452
Fp2,10582,10.582,303.9249620550026,303.9249620550026
Fp2,10833,10.833,1103.6933130147816,-1103.6933130147816
Fp2,11121,11.121,604.7863196207592,-604.7863196207592
Fp2,11504,11.504,983.2247299020011,983.2247299020011
Fp2,11834,11.834,757.0485114788424,757.0485114788424
Fp2,12104,12.104,345.7335429127652,345.7335429127652
Fp2,12411,12.411,632.025225315882,632.025225315882
Fp2,12729,12.729,982.4010070408111,-982.4010070408111
Fp2,13016,13.016,1428.0876584922926,1428.0876584922926
Fp2,13314,13.314,1324.5923554022033,1324.5923554022033
Fp2,13620,13.62,781.2836546324635,-781.2836546324635
Fp2,14108,14.108,865.6328880019392,865.6328880019392
Fp2,14513,14.513,853.1328221983028,853.1328221983028
Fp2,14782,14.782,588.0469001869125,588.0469001869125
Fp2,15087,15.087,536.2761606542838,536.2761606542838
Fp2,15537,15.537,736.5054476979508,736.5054476979508
Fp2,15800,15.8,838.0581664762395,-838.0581664762395
Fp2,16079,16.079,933.3351008460588,933.3351008460588
Fp2,16486,16.486,725.3510110370465,-725.3510110370465
Fp2,16784,16.784,382.8922888017685,382.8922888017685
Fp2,17135,17.135,692.4227815204964,692.4227815204964
Fp2,17491,17.491,1113.2674633144397,-1113.2674633144397
Fp2,17839,17.839,1482.1557488754781,1482.1557488754781
Fp2,18090,18.09,715.8185779014111,-715.8185779014111
Fp2,18361,18.361,647.9041159536223,647.9041159536223
Fp2,18679,18.679,1552.1016495312529,-1552.1016495312529
Fp2,18939,18.939,1492.125038719147,1492.125038719147
Fp2,19245,19.245,1634.8988469077083,-1634.8988469077083
Fp2,19524,19.524,912.1496005838712,912.1496005838712
Fp2,20029,20.029,515.9409863144722,515.9409863144722
Fp2,20346,20.346,768.749048725662,768.749048725662
Fp2,20623,20.623,780.2066855995366,780.2066855995366
Fp2,21089,21.089,552.7513904978217,552.7513904978217
Fp2,21489,21.489,788.5794402879691,-788.5794402879691
Fp2,21867,21.867,1443.2258420794187,1443.2258420794187
Fp2,22185,22.185,977.6550545096037,-977.6550545096037
Fp2,22455,22.455,223.44258334242738,223.44258334242738
Fp2,22788,22.788,1011.6851974454976,1011.6851974454976
Fp2,23218,23.218,897.3408301380883,-897.3408301380883
Fp2,23723,23.723,1405.637066821168,1405.637066821168
Fp2,24011,24.011,865.1519643977442,-865.1519643977442
Fp2,24324,24.324,776.4116023027392,-776.4116023027392
Fp2,24744,24.744,1322.7978639431703,1322.7978639431703
Fp2,25004,25.004,980.2746349286762,-980.2746349286762
Fp2,25349,25.349,1404.5531096214747,1404.5531096214747
Fp2,25680,25.68,353.80076193948383,-353.80076193948383
Fp2,25973,25.973,160.45270650475493,-160.45270650475493
Fp2,26286,26.286,1177.2741671950685,1177.2741671950685
Fp2,26581,26.581,768.7401886054563,-768.7401886054563
Fp2,26982,26.982,1121.9458639678808,1121.9458639678808
Fp2,27331,27.331,476.91803353288896,-476.91803353288896
Fp2,27619,27.619,1441.2004020750453,1441.2004020750453
Fp2,27894,27.894,880.3680996028418,-880.3680996028418
Fp2,28263,28.263,554.6946288380537,554.6946288380537
Fp2,28534,28.534,756.750747221046,756.750747221046
Fp2,28910,28.91,1090.3417422237437,-1090.3417422237437
Fp2,29237,29.237,1427.1876366339923,1427.1876366339923
Fp2,29489,29.489,636.2831818104756,-636.2831818104756
Fp2,29857,29.857,615.6548612892288,-615.6548612892288
Fp2,30124,30.124,351.85718573396184,351.85718573396184
Fp2,30382,30.382,983.2942074202865,983.2942074202865
Fp2,30632,30.632,606.4239363348561,-606.4239363348561
Fp2,30918,30.918,1000.4060509786226,1000.4060509786226
